what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1570864149139
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1570864149139
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1570864149139
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1570864149147
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1570864149149
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1570864149149
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1570864149159
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1570864149159
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1570864149159
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1570864149167
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1570864149169
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1570864149169
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1570864149169
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1570864149179
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1570864149179
os,sysinfo,,,"win32",1570864149190
arch,sysinfo,,,"x86",1570864149190
ws,sysinfo,,,"win32",1570864149190
locale,sysinfo,,,"zh_CN",1570864149190
processors,sysinfo,,,"4",1570864149190
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1570864149190
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1570864149190
java.specification.name,sysinfo,,,"Java Platform API Specification",1570864149190
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1570864149190
java.specification.version,sysinfo,,,"1.6",1570864149190
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1570864149190
java.version,sysinfo,,,"1.6.0_45",1570864149190
java.vm.info,sysinfo,,,"mixed mode",1570864149190
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1570864149190
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1570864149190
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1570864149190
java.vm.specification.version,sysinfo,,,"1.0",1570864149190
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1570864149190
java.vm.version,sysinfo,,,"20.45-b01",1570864149190
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1570864149655
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1570864149718
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1570864149878
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1570864150021
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1570864150062
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1570864150580
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1570864150692
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1570864151089
