what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1571638213746
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1571638213746
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1571638213746
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1571638213752
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1571638213752
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1571638213752
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1571638213752
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1571638213752
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1571638213752
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1571638213752
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1571638213752
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1571638213768
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1571638213768
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1571638213768
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1571638213768
os,sysinfo,,,"win32",1571638213768
arch,sysinfo,,,"x86",1571638213768
ws,sysinfo,,,"win32",1571638213768
locale,sysinfo,,,"zh_CN",1571638213768
processors,sysinfo,,,"4",1571638213768
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1571638213768
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1571638213768
java.specification.name,sysinfo,,,"Java Platform API Specification",1571638213768
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1571638213768
java.specification.version,sysinfo,,,"1.6",1571638213768
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1571638213768
java.version,sysinfo,,,"1.6.0_45",1571638213768
java.vm.info,sysinfo,,,"mixed mode",1571638213768
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1571638213768
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1571638213768
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1571638213768
java.vm.specification.version,sysinfo,,,"1.0",1571638213768
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1571638213768
java.vm.version,sysinfo,,,"20.45-b01",1571638213768
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1571638213946
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1571638214200
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1571638214232
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1571638214417
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1571638214655
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1571638215003
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1571638215404
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1571638215419
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1571638220878
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1571638221194
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1571638254552
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1571638254699
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1571638254838
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1571638254985
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1571638255104
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1571638256578
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1571638276017
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1571638278717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571638999101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571639829223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571639836919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571640524309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571640546624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571640549446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1571640549500
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1571640554560
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1571640564193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571640568797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571655464826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571655465989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571655468881
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1571655469336
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1571796955508
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1571796955508
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1571796955508
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1571796955508
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1571796955524
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1571796955524
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1571796955524
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1571796955524
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1571796955524
